Problem Size,Method 1 Operations,Method 2 Operations,Method 3 Operations,Method 4 Operations
0,4,3,8,5
50000,577792,265274,1254388,816687
100000,1177794,530774,2553392,1666690
150000,1877794,797324,4053292,2666690
200000,2577794,1063874,5553192,3666690
250000,3277794,1330424,7053092,4666690
300000,3977794,1596974,8552992,5666690
350000,4677794,1863524,10052892,6666690
400000,5377794,2130074,11552792,7666690
450000,6077794,2396624,13052692,8666690
500000,6777794,2663174,14552592,9666690
550000,7477794,2929724,16052492,10666690
600000,8177794,3196274,17552392,11666690
650000,8877794,3462824,19052292,12666690
700000,9577794,3729374,20552192,13666690
750000,10277794,3995924,22052092,14666690
800000,10977794,4262474,23551992,15666690
850000,11677794,4529024,25051892,16666690
900000,12377794,4795574,26551792,17666690
950000,13077794,5062124,28051692,18666690
1000000,13777796,5328674,29551596,19666693
